_id,Name,Code,IERS DOMES Number,Description,Latitude,Longitude,Height in meter,Receiver Type,Satellite System,Antenna Type,Elevation Mask in Degree,Recording Rate,Comment,State
51,Muar,MUAR,Domes Number belum diperolehi,MUAR,2.065554163,102.6217293,20.5896,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Sekolah Menengah Sains Muar, Johor.",Johor
52,Mukah,MUKA,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.872683936,112.0491084,46.3226,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Politeknik Mukah, Jalan Oya, Mukah, Sarawak.",Sarawak
53,Al-Mukhtafi Billah Shah,MUKH,22757M001,Geodetic ground marker (circle plate with bolt). Two (2) meter stainless steel pillar on top of concrete tower.,4.617637874,103.294487,54.4516,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Balai Bomba dan Penyelamat Al-Mukhtafi Billah Shah, Dungun,Terengganu",Terengganu
54,Limau Kasturi,MUSA,Domes Number belum diperolehi,MUSA,5.093808975,102.1977818,88.4443,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Limau Kasturi 2, Gua Musang, Kelantan",Kelantan
55,Niah,NIAH,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 8 meter concrete monument.,3.862206605,113.8439879,61.5706,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Suai, Batu Niah, Sarawak",Sarawak
56,Pasir Putih,PASP,22763M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.837954314,102.4267179,19.2401,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SM Sains Pasir Putih, Pasir Putih, Kelantan.",Kelantan
57,Port Dickson,PDIC,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,2.526176616,101.9053186,31.1952,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Majlis Perbandaran Port Dickson, Negeri Sembilan",Negeri Sembilan
58,Pekan,PEKN,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,3.492597842,103.4469032,25.9996,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Jurutera Daerah, Pekan, Pahang.",Pahang
59,Parit Sulong,PRTS,22742M001,Geodetic ground marker (circle plate with bolt). On top of 1.5 meter stainless steel pillar on concrete roof top.,1.981407989,102.930614,15.6476,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Penghulu Saad, Parit Sulong, Johor",Johor
60,Pulau Pangkor,PUPK,22731M001,Geodetic ground marker (circle plate with bolt). 2.5 meter stainless steel pillar on top of the concrete roof.,4.206993758,100.6424192,13.8214,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Pangkor, Pulau Pangkor, Perak.",Perak
61,Pusing,PUSI,22730M001,Geodetic ground marker (circle plate with bolt). On top of 3 meter concrete monument.,4.480702089,101.034252,45.3033,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Pusing, Perak.",Perak
62,Ranau,RANA,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,5.973836817,116.7485595,694.1656,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Ranau, Ranau, Sabah.",Sabah
63,Raub,RAUB,Domes Number belum diperolehi,RAUB,4.217975897,101.8259314,112.1036,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK (LKTP) Sg. Koyan, Raub, Pahang",Pahang
64,Bandar Tun Razak,RAZA,Domes Number belum diperolehi,RAZA,2.896640953,103.0041308,58.5941,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Bandar Tun Razak (BANTURA), Pahang.",Pahang
65,Felda Sahabat,SAHA,Domes Number belum diperolehi,SAHA,5.078060119,119.2070444,71.276,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SMK Desa Kencana, FELDA Sahabat, Lahad Datu, Sabah",Sabah
66,Sandakan,SAND,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 3 meter concrete monument.,5.842403867,118.1558461,133.4099,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Jalan Istana, Sandakan, Sabah.",Sabah
67,Saratok,SARA,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.764105067,111.365788,54.7499,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMKA Sri Aman,Saratok, Sarawak",Sarawak
68,Sabak Bernam,SBKB,22733M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the concrete roof.,3.812776336,100.9640489,15.5264,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Politeknik Sultan Idris Shah, Sabak Bernam, Selangor.",Selangor
69,Tanjung Sedili,SDLI,Domes Number belum diperolehi,SDLI,1.926201,104.1753884,19.5674,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Tan Sri Jaafar Albar, Tg. Sedili, Johor.",Johor
70,Segamat,SEG1,22741M001,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,2.4862996,102.8701889,28.5201,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"Univ. Teknologi MARA (UiTM) Segamat, Segamat, Johor.",Johor
71,Sekinchan,SEKI,Domes Number belum diperolehi,SEKI,3.532844792,101.1307332,4.6612,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"SK Sungai Leman, Sekinchan, Selangor",Selangor
72,Sematan,SEMA,Domes Number belum diperolehi,Geodetic ground marker (circle plate with bolt). On top of 6 meter concrete monument.,1.802692877,109.8847475,41.8706,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Sematan, Sematan, Sarawak.",Sarawak
73,Semporna,SEMP,Domes Number belum diperolehi,SEMP,4.454290142,118.6179459,82.6347,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Datuk Panglima Abdullah, Semporna, Sabah",Sabah
74,Setiu,SETI,22760M001,Geodetic ground marker (circle plate with bolt). Two (2) meter stainless steel pillar on top of concrete building.,5.532495809,102.8758091,43.7095,TRIMBLE NETR5,GPS and GLONASS,TRM55971.00 NONE,10,1s,"SMK Tengku Ibrahim, Setiu, Terengganu",Terengganu
75,Sungai Petani,SGPT,22725M001,Geodetic ground marker (circle plate with bolt). 1.5 meter stainless steel pillar on top of the building.,5.643577647,100.5337441,10.2426,LEICA GR25,GPS and GLONASS,LEIAR10 NONE,10,1s,"Pejabat Ukur Daerah Kedah Tengah, Sungai Petani, Kedah",Kedah
